name,manufacturer
젤라스정(아젤라스틴염산염),한국넬슨제약(주)
뉴비그라정100밀리그램(실데나필시트르산염),한국휴텍스제약(주)
콜로스타정2.5밀리그램(로수바스타틴칼슘),신풍제약(주)
토파제정,(주)메디카코리아
오베틴캡슐20밀리그램(플루옥세틴염산염),(주)인트로바이오파마
잭파즈정10밀리그램(토파시티닙),한림제약(주)
토피버정25밀리그램(토피라메이트),(주)일화
"아스베린캡슐100/5밀리그램(아스피린,라베프라졸)",제이더블유중외제약(주)
징코린정240밀리그램(은행엽건조엑스),동성제약(주)
한림시타로정50밀리그램(시타글립틴염산염수화물),한림제약(주)
안프란서방정300밀리그램(사르포그렐레이트염산염),제일약품(주)
엑시글루정5밀리그램(다파글리플로진),(주)종근당
"엠파앙듀오정12.5/1000밀리그램(엠파글리플로진,메트포르민염산염)",(주)동구바이오제약
"엠파콤비정12.5/1000밀리그램(엠파글리플로진, 메트포르민염산염)",(주)에이프로젠바이오로직스
세나톤정(나부메톤),(주)한국피엠지제약
대화염산플루옥세틴캡슐,대화제약(주)
글로세파드록실캡슐,(주)킵스바이오파마
카마제핀씨알정300밀리그램(카르바마제핀),명인제약(주)
터나빈정(테르비나핀염산염),주식회사제뉴원사이언스
아페손정(에페리손염산염),한국프라임제약(주)
바스티난엠알서방정(트리메타지딘염산염),한국세르비에(주)
일양레바미피드정100밀리그램,일양약품(주)
보령토르세미드정10밀리그람(수출명:DUREMID 10mg Tablet),(주)보령
졸피드정10밀리그램(졸피뎀타르타르산염),한미약품(주)
가바페닌캡슐300밀리그램(가바펜틴),한미약품(주)
로디엔정2.5밀리그램(에스암로디핀니코틴산염),한림제약(주)
슈다펜정(수도에페드린염산염),삼아제약(주)
칼디텍츄어블정,동광제약(주)
센탈라정(센텔라정량추출물),부광약품(주)
발산정80밀리그램(발사르탄),유니메드제약(주)
시알정20밀리그램(타다라필),유니메드제약(주)
록시트정(록시트로마이신),조아제약(주)
에피스틴정(에피나스틴염산염),지엘파마(주)
유리가트정40밀리그램(페북소스타트),(주)유유제약
오셀타원캡슐45mg(오셀타미비르인산염),대원제약(주)
오멘건조시럽,유니메드제약(주)
슈가메트서방정5/1000밀리그램,동아에스티(주)
아크로펜정(아세클로페낙),동아에스티(주)
훼리너프에프캡슐,(주)녹십자
"참훌루오로메토론0.1%점안액(플루오로메톨론)(수출명:훌루론0.1%점안액,유니훌루오롬0.1%점안액) (군납용:플루오로메톨론 점안액 0.1% 5M)",유니메드제약(주)
듀오그린정,한국신텍스제약(주)
베타리온정(베포타스틴베실산염),주식회사더유제약
세파에스캡슐(세파클러수화물),풍림무약(주)
오프록점안액(오플록사신),풍림무약(주)
에소가드정40밀리그램(에스오메프라졸마그네슘이수화물),(주)보령
클래리시드필름코팅정500밀리그램(클래리트로마이신),한국애보트(유)
진코신정80밀리그램(은행엽건조엑스),제일약품(주)
프레뉴캡슐75밀리그램(프레가발린),(주)팜젠사이언스
코비스정5/6.25밀리그람,아주약품(주)
칸치딘정(돔페리돈)(수출용),(주)씨엠지제약
유한세프라딘캡슐250밀리그램,(주)유한양행
록시틸정150밀리그램(록시트로마이신),코오롱제약(주)
토렘정2.5밀리그람(토라세미드),한국메나리니(주)
폴시드정(폴산),조아제약(주)
판피린티정,동아제약(주)
후루겐정(탈니플루메이트),하나제약(주)
타비눌주사(글리코피롤레이트),하나제약(주)
페록살캡슐(플루페남산)(수출용),(주)마더스제약
휴글리아정50밀리그램(시타글립틴염산염수화물),(주)휴온스
"트라디앙정10/5밀리그램(엠파글리플로진,리나글립틴)",(주)동구바이오제약
데스프리서방정100밀리그램(데스벤라팍신숙신산염일수화물),현대약품(주)
스토라베정10밀리그램(라베프라졸나트륨),주식회사더유제약
아라빌정10밀리그램(아리피프라졸(미분화)),(주)한국파마
하누비정100밀리그램(시타글립틴인산염),삼진제약(주)
위디앙듀오정12.5/500밀리그램,위더스제약(주)
"자디플로진엠정12.5/1000밀리그램(엠파글리플로진,메트포르민염산염)",영풍제약(주)
자비쎄프타주 2g/0.5g (세프타지딤/아비박탐),한국화이자제약(주)
"다포가듀오서방정10/1000밀리그램(다파글리플로진프로판디올수화물, 메트포르민염산염)",삼천당제약(주)
몬카스트츄정5mg(몬테루카스트나트륨),영진약품(주)
에소듀오에스정20/700밀리그램,(주)종근당
"알쯔콤프정10/20밀리그램(도네페질염산염수화물, 메만틴염산염)",한국휴텍스제약(주)
아젠카정,정우신약(주)
"텔미트리원정40/5/10밀리그램(텔미사르탄,암로디핀,로수바스타틴)",일성아이에스(주)
스토벤트정(파모티딘),주식회사케이에스제약
"엠파시타엠서방정10/100/1000밀리그램(엠파글리플로진,시타글립틴,메트포르민염산염)",대원제약(주)
프라미드정(티로프라미드염산염),삼아제약(주)
엠티정,명문제약(주)
듀오설탐정500밀리그램(아목시실린·설박탐피복실),대화제약(주)
유한세프피란주1그램(세프피라미드나트륨),(주)유한양행
포부틴정(트리메부틴말레산염),한국유니온제약(주)
루코나졸캡슐(플루코나졸),(주)종근당
프로질정(세프프로질수화물),(주)넥스팜코리아
팜비탈정250밀리그램(팜시클로비르),삼아제약(주)
티로푸정(티로프라미드염산염),주식회사제뉴원사이언스
심바로틴정20밀리그램(심바스타틴),알리코제약(주)
디멘토연질캡슐(콜린알포세레이트),(주)씨엠지제약
샤젠캡슐(니푸록사지드),태극제약(주)
페인엔젤이부연질캡슐(이부프로펜),제이더블유중외제약(주)
알지퀵연질캡슐(펙소페나딘염산염),제이더블유중외제약(주)
메가아세돌세미정,(주)엘앤씨바이오
시글립정25밀리그램(시타글립틴염산염수화물),(주)이든파마
알렌산정70밀리그램(알렌드론산나트륨삼수화물),한국신텍스제약(주)
지타코정240밀리그램(은행엽건조엑스),대한뉴팜(주)
유한짓정100mg(이소니아지드)(군납명:이소니아지드정케이.피100밀리그람),(주)유한양행
"자디플로진엠정12.5/850밀리그램(엠파글리플로진,메트포르민염산염)",영풍제약(주)
올리원정60밀리그램(오르리스타트),(주)씨엠지제약
캐롤나이트연질캡슐,일동제약(주)
넥스틸투엑스정(애엽95%에탄올연조엑스(20→1)),(주)넥스팜코리아
벨라캅정(세벨라머탄산염),(주)넥스팜코리아
"아이스타플러스정80/5/5밀리그램(텔미사르탄, 암로디핀, 로수바스타틴)",(주)인트로바이오파마
코그닉스정80밀리그램(은행엽건조엑스),(주)종근당
"텔미누보정20/1.25밀리그램(텔미사르탄,에스암로디핀베실산염이수화물)",(주)종근당
"폴민엠파서방정10/1000밀리그램(엠파글리플로진, 메트포르민)",(주)녹십자
에스미정,(주)바스칸바이오제약
목시캄캡슐(멜록시캄),(주)유영제약
멕시캡슐(멜록시캄)(수출명: Momeloxe Cap.),오스틴제약(주)
엘프린정(에날라프릴말레산염),(주)아리제약
록프라정(록소프로펜나트륨수화물),알보젠코리아(주)
레르카닌정(레르카니디핀염산염)(수출용),일양바이오팜(주)
